Outbreak or Sporadic,Episode Week,Cases
OB Associated,2021-01-24,55
Sporadic,2021-01-24,1336
OB Associated,2021-01-17,286
Sporadic,2021-01-17,3773
OB Associated,2021-01-10,416
Sporadic,2021-01-10,4857
OB Associated,2021-01-03,554
Sporadic,2021-01-03,5637
Sporadic,2020-12-27,5686
OB Associated,2020-12-27,455
Sporadic,2020-12-20,4510
OB Associated,2020-12-20,469
Sporadic,2020-12-13,3839
OB Associated,2020-12-13,453
OB Associated,2020-12-06,616
Sporadic,2020-12-06,3715
Sporadic,2020-11-29,3486
OB Associated,2020-11-29,502
OB Associated,2020-11-22,507
Sporadic,2020-11-22,3279
Sporadic,2020-11-15,2886
OB Associated,2020-11-15,617
OB Associated,2020-11-08,512
Sporadic,2020-11-08,2732
OB Associated,2020-11-01,826
Sporadic,2020-11-01,2566
OB Associated,2020-10-25,380
Sporadic,2020-10-25,1872
OB Associated,2020-10-18,510
Sporadic,2020-10-18,1868
OB Associated,2020-10-11,412
Sporadic,2020-10-11,1695
OB Associated,2020-10-04,171
Sporadic,2020-10-04,1656
OB Associated,2020-09-27,197
Sporadic,2020-09-27,1726
Sporadic,2020-09-20,1659
OB Associated,2020-09-20,181
Sporadic,2020-09-13,1075
OB Associated,2020-09-13,174
OB Associated,2020-09-06,125
Sporadic,2020-09-06,584
Sporadic,2020-08-30,375
OB Associated,2020-08-30,51
Sporadic,2020-08-23,249
OB Associated,2020-08-23,21
Sporadic,2020-08-16,201
OB Associated,2020-08-16,23
Sporadic,2020-08-09,156
OB Associated,2020-08-09,25
OB Associated,2020-08-02,17
Sporadic,2020-08-02,138
OB Associated,2020-07-26,23
Sporadic,2020-07-26,132
Sporadic,2020-07-19,146
OB Associated,2020-07-19,34
Sporadic,2020-07-12,167
OB Associated,2020-07-12,77
Sporadic,2020-07-05,234
OB Associated,2020-07-05,195
OB Associated,2020-06-28,100
Sporadic,2020-06-28,273
Sporadic,2020-06-21,292
OB Associated,2020-06-21,80
Sporadic,2020-06-14,337
OB Associated,2020-06-14,113
Sporadic,2020-06-07,374
OB Associated,2020-06-07,131
Sporadic,2020-05-31,590
OB Associated,2020-05-31,202
OB Associated,2020-05-24,287
Sporadic,2020-05-24,732
Sporadic,2020-05-17,834
OB Associated,2020-05-17,322
Sporadic,2020-05-10,707
OB Associated,2020-05-10,486
Sporadic,2020-05-03,609
OB Associated,2020-05-03,387
OB Associated,2020-04-26,519
Sporadic,2020-04-26,774
OB Associated,2020-04-19,639
Sporadic,2020-04-19,629
Sporadic,2020-04-12,591
OB Associated,2020-04-12,1180
OB Associated,2020-04-05,714
Sporadic,2020-04-05,445
Sporadic,2020-03-29,468
OB Associated,2020-03-29,491
Sporadic,2020-03-22,442
OB Associated,2020-03-22,200
Sporadic,2020-03-15,525
OB Associated,2020-03-15,50
OB Associated,2020-03-08,8
Sporadic,2020-03-08,253
OB Associated,2020-03-01,3
Sporadic,2020-03-01,61
Sporadic,2020-02-23,5
Sporadic,2020-02-16,4
Sporadic,2020-02-09,3
Sporadic,2020-02-02,1
Sporadic,2020-01-19,3
